Probeset_ID,Gene Symbol,Mo BM Ly6C- II-,Sample_,Sample_,Sample_
10338576,---,83.32,90.11,83.83,69.78
10338577,---,-71.08,-41.32,-66.33,-93.62
10338578,---,32.95,45.58,22.62,30.95
10338579,---,21.97,-27.27,68.31,27.92
10338580,---,-59.14,-85.23,-79.08,13.72
10338581,---,-92.19,-89.58,-91.94,-94.38
10338582,---,-25.91,55.06,-84.22,-27.72
10338583,---,-40.88,-49.87,-28.44,-45.64
10338584,---,75.41,94.54,62.72,42.95
10338585,---,90.42,91.30,88.96,91.35
10338586,---,10.32,-45.26,78.98,-18.55
10338587,---,69.56,79.23,63.54,63.70
10338588,---,74.04,85.33,60.19,69.97
10338589,---,-58.02,-21.31,-80.74,-70.98
10338590,---,-34.00,18.05,-66.36,-58.48
10338591,---,19.45,-35.12,54.19,42.95
10338592,---,-21.92,12.59,-41.01,-52.46
10338593,---,5.47,50.44,49.56,-72.98
10338594,---,-6.03,17.14,-11.65,-26.10
10338595,---,35.40,28.74,12.39,59.02
10338596,---,-76.71,-94.07,-20.18,-94.97
10338597,---,-67.97,-65.31,-78.11,-59.43
10338598,---,-74.34,-62.38,-58.03,-95.09
10338599,---,-58.58,-53.10,-24.70,-90.67
10338600,---,10.45,25.23,47.77,-40.21
10338601,---,-75.91,-56.98,-90.74,-68.41
10338602,---,31.33,56.83,4.02,24.59
10338603,---,78.54,86.26,85.51,52.91
10338604,---,-79.48,-87.07,-75.84,-73.17
10338605,---,-40.47,-23.92,-51.88,-46.66
10338606,---,-50.00,43.27,-72.75,-86.19
10338607,---,99.42,99.29,99.55,99.24
10338608,---,-52.89,-83.76,-30.83,-32.92
10338609,---,7.40,76.07,-36.74,-13.77
10338610,---,-21.05,-29.15,-21.75,-11.70
10338611,---,-28.59,-44.31,-16.23,-25.12
10338612,---,10.00,56.33,-8.67,-18.38
10338613,---,14.16,-0.96,26.71,16.41
