Probeset_ID,Gene Symbol,Mo Bl Ly6C+ II-,Sample_,Sample_,Sample_
10338588,---,-71.84,-31.94,-72.43,-91.01
10338589,---,-8.67,-12.66,-12.78,-0.71
10338590,---,20.09,-18.63,35.72,44.74
10338591,---,-5.03,18.99,-8.81,-17.65
10338592,---,-15.89,-15.89,-49.56,5.18
10338593,---,96.32,97.23,96.59,94.53
10338594,---,-4.09,25.97,1.00,-40.49
10338595,---,78.77,74.34,86.13,73.94
10338596,---,80.85,43.35,85.49,92.09
10338597,---,48.23,35.32,61.31,47.26
10338598,---,80.16,77.41,50.22,95.51
10338599,---,-2.78,-1.67,29.96,-28.08
10338600,---,90.16,92.05,91.50,85.73
10338601,---,-11.05,18.91,-25.80,-25.80
10338602,---,86.83,87.29,84.30,87.80
10338603,---,77.38,85.57,80.27,59.73
10338604,---,40.72,23.76,35.21,62.07
10338605,---,-15.03,-5.72,-13.95,-27.12
10338606,---,84.00,87.15,87.59,73.00
10338607,---,44.57,64.14,28.05,39.62
10338608,---,74.67,66.42,85.51,69.35
10338609,---,-59.32,-25.79,-98.86,-31.00
10338610,---,19.28,34.99,-12.12,35.32
10338611,---,99.10,96.31,99.55,99.55
10338612,---,77.69,93.91,70.45,49.41
10338613,---,93.66,90.40,96.26,94.46
10338614,---,19.64,63.28,-26.33,24.41
10338615,---,11.09,18.70,13.97,0.75
10338616,---,93.57,94.78,90.46,94.59
10338617,---,65.23,66.36,16.54,89.63
10338618,---,60.88,55.67,54.16,72.40
10338619,---,97.52,96.93,96.83,98.09
10338620,---,82.04,81.16,58.49,93.03
10338621,---,89.29,66.27,71.00,98.95
10338622,---,-22.04,-42.89,-73.67,56.38
10338623,---,96.83,99.32,92.69,93.84
10338624,---,96.09,96.91,93.78,96.80
10338625,---,46.93,49.42,9.10,73.37
10338626,---,34.55,26.75,76.44,-11.48
10338627,---,87.05,62.46,96.83,87.55
10338628,---,49.37,48.33,54.18,47.58
10338629,---,96.67,91.96,98.31,96.89
10338630,---,-13.78,-13.92,-20.77,-7.29
10338631,---,-18.07,-15.28,-9.72,-35.68
10338632,---,92.10,94.90,85.76,93.74
10338633,---,28.04,0.47,39.75,41.18
10338634,---,20.51,-1.54,5.83,52.92
10338635,---,84.29,90.19,62.64,90.62
10338636,---,80.33,96.58,38.12,77.45
10338637,---,-1.94,24.55,-70.02,52.96
10338638,---,-42.43,-61.52,12.27,-66.36
10338639,---,91.67,87.21,94.64,91.41
10338640,---,18.70,-25.45,56.98,28.92
10338641,---,-3.60,-46.72,20.88,22.80
10338642,---,57.58,53.07,50.85,67.53
10338643,---,57.10,58.68,27.28,79.28
